device_id,date,hour,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,absolute_humidity_count,absolute_humidity_mean,absolute_humidity_std,absolute_humidity_min,absolute_humidity_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P3,2025-09-07,8,120,33.410735833333334,0.05564117102996612,33.30051,33.5052,120,14.4845,0.045703648972615106,14.39,14.59,120,445.18333333333334,3.0041521219786693,435,457
P3,2025-09-07,9,120,33.626167083333335,0.12039024373070445,33.43703,33.87238,120,14.644833333333333,0.04323053957355457,14.53,14.73,120,444.4,3.426049492644606,434,455
P3,2025-09-07,10,120,34.08493858333333,0.10613846654804032,33.85109,34.2343,120,14.780333333333335,0.04436164088571092,14.62,14.86,120,436.1666666666667,2.754166693152257,427,444
P3,2025-09-07,11,120,34.4124535,0.11897072551188619,34.21887,34.62805,120,14.887583333333334,0.06559355155503174,14.79,15.02,120,431.03333333333336,3.081343517225619,421,441
P3,2025-09-07,12,120,34.701026999999996,0.07023966569041573,34.59406,34.85656,120,14.998666666666667,0.023831810297851728,14.95,15.07,120,424.40833333333336,2.5976583939487634,415,430
P3,2025-09-07,13,120,34.894980583333336,0.04034778638342721,34.82317,35.00598,120,14.964083333333333,0.03163595001471139,14.9,15.06,120,424.81666666666666,2.6536270828204507,417,437
P3,2025-09-07,14,120,34.83953308333333,0.0727509060822728,34.67863,34.96692,120,15.162916666666666,0.10882408774177339,14.97,15.39,120,433.3833333333333,3.8852951248627625,423,441
P3,2025-09-07,15,120,34.49074733333334,0.09982901789055158,34.29582,34.71066,120,15.543416666666667,0.1144919052096806,15.31,15.71,120,441.40833333333336,2.5781754780305817,436,452
P3,2025-09-07,16,120,34.23626,0.04810425318814466,34.13567,34.33391,120,15.54725,0.07327813366857358,15.41,15.69,120,440.5083333333333,2.5960404022873087,431,450
P3,2025-09-07,17,120,34.18262083333333,0.0401871934445095,34.09192,34.28195,120,15.467416666666667,0.03813941328780922,15.39,15.56,120,439.775,2.39208252857827,431,448
P3,2025-09-07,18,120,34.06206241666667,0.05641018918324537,33.96301,34.22805,120,15.568666666666667,0.027160689999197556,15.51,15.64,120,440.225,2.6614663930518874,430,448
P3,2025-09-07,19,120,33.942238249999996,0.02987759933947083,33.85051,34.01926,120,15.655750000000001,0.03347299174664045,15.59,15.73,120,439.8333333333333,2.341920971667272,432,449
P3,2025-09-07,20,120,33.78923058333333,0.046324197849288755,33.68801,33.91418,120,15.667416666666666,0.03651857667786425,15.59,15.73,120,460.95,18.948781029950382,431,491
P3,2025-09-07,21,120,33.7229935,0.03714528224000038,33.65109,33.81867,120,15.652083333333334,0.021258545818285877,15.6,15.71,120,477.575,2.4276505916127924,465,483
P3,2025-09-07,22,120,33.659007333333335,0.03516602647498449,33.56359,33.75656,120,15.63975,0.019595167471479463,15.59,15.69,120,476.0083333333333,2.002082249392706,470,481
P3,2025-09-07,23,120,33.66249583333333,0.03177826014411494,33.56574,33.75871,120,15.62575,0.016017978344726423,15.58,15.67,120,474.775,2.3566908148161105,464,483
P3,2025-09-08,0,120,33.69587908333333,0.04167256984281183,33.61789,33.8009,120,15.739916666666666,0.054657002800940845,15.6,15.83,120,471.875,2.2212211797593957,467,482
P3,2025-09-08,1,120,33.614196416666665,0.05239072159170657,33.49035,33.74387,120,15.837,0.020928048004467948,15.79,15.89,120,469.40833333333336,1.6878001859778966,465,473
